ourName,ourCategory,ourSource,matchedDescription,matchedCategory,foodCode,score,tier,coreMismatch,compositeDish,cup,tbsp,tsp,piece
"Potato, boiled, NFS",,usda,"Potato, boiled, NFS","White potatoes, baked or boiled",71102980,100,match,no,no,160,,,
"Potato sticks, flavored",,usda,"Potato sticks, flavored",Potato chips,71205030,100,match,no,no,38,,,
"Potato chips, plain",,usda,"Potato chips, plain",Potato chips,71200100,100,match,no,no,25,,,
"Potato chips, unsalted",,usda,"Potato chips, unsalted",Potato chips,71202000,100,match,no,no,25,,,
"Potato, french fries, NFS",,usda,"Potato, french fries, NFS",French fries and other fried white potatoes,71400990,100,match,no,no,60,,,
"Potato, french fries, restaurant",,usda,"Potato, french fries, restaurant",French fries and other fried white potatoes,71401031,100,match,no,no,60,,,
"Potato, baked, NFS",,usda,"Potato, baked, NFS","White potatoes, baked or boiled",71100100,100,match,no,no,130,,,
"Potato, baked, peel not eaten",,usda,"Potato, baked, peel not eaten","White potatoes, baked or boiled",71101000,100,match,no,no,130,,,
"Potato, baked, peel eaten",,usda,"Potato, baked, peel not eaten","White potatoes, baked or boiled",71101000,100,match,no,no,130,,,
Steak sauce,,usda,Steak sauce,Tomato-based condiments,74406100,100,match,no,no,,17,,
Steak tartare,,usda,Steak tartare,Meat mixed dishes,27116400,100,match,no,no,225,,,
Steak teriyaki,,usda,Steak teriyaki,Stir-fry and soy-based sauce mixtures,27115100,100,match,no,no,244,,,
Pepper steak,,usda,Pepper steak,Meat mixed dishes,27416150,100,match,no,no,217,,,
"Venison, steak",,usda,"Venison, steak","Lamb, goat, game",23321200,100,match,no,no,135,,,
"Beef, sandwich steak",,usda,"Beef, sandwich steak","Beef, excludes ground",21420100,100,match,no,no,110,,,
"Beef, steak, cube",,usda,"Beef, steak, cube","Beef, excludes ground",21101150,100,match,no,no,135,,,
"Beef, steak, chuck",,usda,"Beef, steak, chuck","Beef, excludes ground",21101140,100,match,no,no,135,,,
"Beef, steak, tenderloin",,usda,"Beef, steak, tenderloin","Beef, excludes ground",21103180,100,match,no,no,135,,,
"Beef, steak, flank",,usda,"Beef, steak, flank","Beef, excludes ground",21101160,100,match,no,no,135,,,
"Apricot, canned",,usda,"Apricot, canned",Other fruits and fruit salads,63103110,100,match,no,no,250,,,
"Bluberries, canned",,usda,"Bluberries, canned",Blueberries and other berries,63203110,100,match,no,no,250,,,
